Simulation_number,Number_of_classes,BLRT_p_value
164,6,0.876
165,1,0
165,2,0
165,3,0
165,4,0
165,5,0.286
165,6,0.87
166,1,0
166,2,0
166,3,0
166,4,0
166,5,0.094
166,6,0.946
167,1,0
167,2,0
167,3,0
167,4,0
167,5,0.616
167,6,0.7
168,1,0
168,2,0
168,3,0
168,4,0
168,5,0.818
168,6,0.85
169,1,0
169,2,0
169,3,0
169,4,0
169,5,0.278
169,6,0.57
170,1,0
170,2,0
170,3,0
170,4,0
170,5,0.008
170,6,0.91
171,1,0
171,2,0
171,3,0
171,4,0
171,5,0.498
171,6,0.636
172,1,0
172,2,0
172,3,0
172,4,0
172,5,0.9260000000000001
172,6,0.912
173,1,0
173,2,0
173,3,0
173,4,0
173,5,0.436
173,6,0.442
174,1,0
174,2,0
174,3,0
174,4,0
174,5,0.338
174,6,0.114
175,1,0
175,2,0
175,3,0
175,4,0
175,5,0.298
175,6,0.074
176,1,0
176,2,0
176,3,0
176,4,0
176,5,0.284
176,6,0.222
177,1,0
177,2,0
177,3,0
177,4,0
177,5,0.096
177,6,0.044
178,1,0
178,2,0
178,3,0
178,4,0
178,5,0.044
178,6,0.198
179,1,0
179,2,0
179,3,0
179,4,0
179,5,0.24
179,6,0.44
180,1,0
180,2,0
180,3,0
180,4,0
180,5,0.014
180,6,0.488
181,1,0
181,2,0
181,3,0
181,4,0
181,5,0.026
181,6,0.464
182,1,0
182,2,0
182,3,0
182,4,0
182,5,0.732
182,6,0.8060000000000001
183,1,0
183,2,0
183,3,0
183,4,0
183,5,0.3
183,6,0.84
184,1,0
184,2,0
184,3,0
184,4,0
184,5,0.6860000000000001
184,6,0.86
185,1,0
185,2,0
185,3,0
185,4,0
185,5,0.066
185,6,0.9360000000000001
186,1,0
186,2,0
186,3,0
186,4,0
186,5,0.206
186,6,0.826
187,1,0
187,2,0
187,3,0
187,4,0
187,5,0
187,6,0.374
188,1,0
188,2,0
188,3,0
188,4,0
188,5,0.258
188,6,0.47
189,1,0
189,2,0
189,3,0
189,4,0
189,5,0.002
189,6,0.078
190,1,0
190,2,0
190,3,0
190,4,0
190,5,0.02
190,6,0.474
191,1,0
191,2,0
191,3,0
191,4,0
191,5,0.91
191,6,0.946
192,1,0
192,2,0
192,3,0
192,4,0
192,5,0
192,6,0.87
193,1,0
193,2,0
193,3,0
193,4,0
193,5,0.048
193,6,0.532
194,1,0
194,2,0
194,3,0
194,4,0
194,5,0
194,6,0.02
195,1,0
195,2,0
195,3,0
195,4,0
195,5,0.028
195,6,0.152
196,1,0
196,2,0
196,3,0
196,4,0
196,5,0
196,6,0.614
197,1,0
197,2,0
197,3,0
197,4,0
197,5,0.286
197,6,0.476
198,1,0
198,2,0
198,3,0
198,4,0
198,5,0.02
198,6,0.172
199,1,0
199,2,0
199,3,0
199,4,0
199,5,0
199,6,0.256
200,1,0
200,2,0
200,3,0
200,4,0
200,5,0.5520000000000001
200,6,0.8060000000000001
201,1,0
201,2,0
201,3,0
201,4,0
201,5,0.046
201,6,0.242
202,1,0
202,2,0
202,3,0
202,4,0
202,5,0.014
202,6,0.406
203,1,0
203,2,0
203,3,0
203,4,0
203,5,0.6800000000000001
203,6,0.144
204,1,0
204,2,0
204,3,0
204,4,0
204,5,0.22
204,6,0.656
205,1,0
205,2,0
205,3,0
205,4,0
205,5,0.234
205,6,0.768
206,1,0
206,2,0
206,3,0
206,4,0
206,5,0.106
206,6,0.508
207,1,0
207,2,0
207,3,0
207,4,0
207,5,0.042
207,6,0.39
208,1,0
208,2,0
208,3,0
208,4,0
208,5,0.006
208,6,0.17
209,1,0
209,2,0
209,3,0
209,4,0
209,5,0.002
209,6,0.34
210,1,0
210,2,0
210,3,0
210,4,0
210,5,0.036
210,6,0.582
211,1,0
211,2,0
211,3,0
211,4,0
211,5,0.746
211,6,0.6820000000000001
212,1,0
212,2,0
212,3,0
212,4,0
212,5,0.356
212,6,0.154
213,1,0
213,2,0
213,3,0
213,4,0
213,5,0.008
213,6,0.244
214,1,0
214,2,0
214,3,0
214,4,0
214,5,0.052
214,6,0.104
215,1,0
215,2,0
215,3,0
215,4,0
215,5,0.078
215,6,0.08
216,1,0
216,2,0
216,3,0
216,4,0
216,5,0.332
216,6,0.614
217,1,0
217,2,0
217,3,0
217,4,0
217,5,0.008
217,6,0.106
218,1,0
218,2,0
218,3,0
218,4,0
218,5,0.036
218,6,0.08400000000000001
219,1,0
219,2,0
219,3,0
219,4,0
219,5,0.144
219,6,0.346
220,1,0
220,2,0
220,3,0
220,4,0
220,5,0.192
220,6,0.762
221,1,0
221,2,0
221,3,0
221,4,0
221,5,0.236
221,6,0.64
222,1,0
222,2,0
222,3,0
222,4,0
222,5,0
222,6,0.718
223,1,0
223,2,0
223,3,0
223,4,0
223,5,0.124
223,6,0.568
224,1,0
224,2,0
224,3,0
224,4,0
224,5,0.64
224,6,0.6879999999999999
225,1,0
225,2,0
225,3,0
225,4,0
225,5,0.004
225,6,0.986
226,1,0
226,2,0
226,3,0
226,4,0
226,5,0.7
226,6,0.988
227,1,0
227,2,0
227,3,0
227,4,0
227,5,0.44
227,6,0.57
228,1,0
228,2,0
228,3,0
228,4,0
228,5,0.19
228,6,0.486
229,1,0
229,2,0
229,3,0
229,4,0
229,5,0.982
229,6,0.88
230,1,0
230,2,0
230,3,0
230,4,0
230,5,0.18
230,6,0.794
231,1,0
231,2,0
231,3,0
231,4,0
231,5,0
231,6,0.472
232,1,0
232,2,0
232,3,0
232,4,0
232,5,0.1
232,6,0.522
233,1,0
233,2,0
233,3,0
233,4,0
233,5,0.376
233,6,0.69
234,1,0
234,2,0
234,3,0
234,4,0
234,5,0.104
234,6,0.836
235,1,0
235,2,0
235,3,0
235,4,0
235,5,0.868
235,6,0.9
