Simulation_number,Number_of_classes,Gsquared,AIC,BIC,NFI,NNFI,RMSEA
16,6,31.31828383,113.31828383,286.11721586530984,0.8366201389648573,0.8207526305825207,0.029134418485687683
17,1,178.20813,190.20813,215.49577859053318,0,0,0.06527970374893226
17,2,111.8392637,137.8392637,192.6291689794885,0.37242333612950207,0.41838257369369525,0.04978481297751768
17,3,60.29173906,100.29173906,184.58390102844382,0.6616779545355198,0.8108905104701906,0.028388002578625778
17,4,39.40359387,93.40359387000001,207.1980125273992,0.7788900322897726,0.9555390910865468,0.01376471878753552
17,5,31.78732338,99.78732338,243.0839987263545,0.8216280964285972,0.9548006213717705,0.01387855999286817
17,6,24.18138848,106.18138848,278.98032051530987,0.8643081632695433,0.9533712858730156,0.014096292226874925
18,1,144.7472465,156.7472465,182.03489509053315,0,0,0.05554296351454359
18,2,89.56222204,115.56222204,170.3521273194885,0.38125094462505027,0.4860131237781917,0.03982034909445179
18,3,48.53928019,88.53928019,172.83144215844382,0.6646618062610261,0.9163191204696277,0.016067272748569412
18,4,23.58218135,77.58218135,191.3766000073992,0.8370802766876813,1.224070235592331,NA
18,5,16.99936834,84.99936834,228.2960436863545,0.8825582610305475,1.268811266176568,NA
18,6,11.09888224,93.09888224,265.8978142753099,0.9233223255822003,1.3218768249947825,NA
19,1,209.4036877,221.4036877,246.69133629053317,0,0,0.0731998240607184
19,2,123.7572299,149.7572299,204.5471351794885,0.4090016691716552,0.44828603982658094,0.05437096283126129
19,3,65.61959935,105.61959935,189.91176131844384,0.6866358941872636,0.8032585659762572,0.03246818063704606
19,4,41.73335658,95.73335657999999,209.52777523739917,0.8007038126291794,0.9404357288068431,0.017864997236285957
19,5,34.63739882,102.63739882,245.9340741663545,0.8345903111810384,0.9272956924831591,0.019737407530607966
19,6,27.93609441,109.93609441,282.73502644530987,0.8665921564379403,0.8990845877585438,0.023253524446026675
20,1,221.4360205,233.4360205,258.7236690905332,0,0,0.07603451469348581
20,2,126.0964214,152.0964214,206.8863266794885,0.4305514472520066,0.4724396751258038,0.05522641369434628
20,3,70.78320975,110.78320975,195.07537171844382,0.6803446449671001,0.7760289635100088,0.03598377381416945
20,4,33.21663127,87.21663127,201.01104992739917,0.8499944534994929,1.0268007002101263,NA
20,5,25.26701274,93.26701274,236.5636880863545,0.8858947488175257,1.0446207029279166,NA
20,6,17.74200528,99.74200528,272.54093731530986,0.9198775102626088,1.067090392941557,NA
21,1,170.5057207,182.5057207,207.79336929053318,0,0,0.06317149786852115
21,2,107.7978139,133.7978139,188.5877191794885,0.36777596987688643,0.4195049602817069,0.04813050641011986
21,3,58.39821296,98.39821296,182.69037492844382,0.6574999787675746,0.8201713138728579,0.026788639645491878
21,4,38.04917271,92.04917271,205.84359136739917,0.7768451841158664,0.9714153309851633,0.010680405913366867
21,5,30.47813998,98.47813998000001,241.7748153263545,0.8212485783182288,0.9744038485642419,0.010106679881757749
21,6,22.40080017,104.40080017,277.1997322053099,0.8686214158795671,0.9908512381782454,0.00604230071137497
22,1,216.298793,228.298793,253.58644159053313,0,0,0.07483737434284018
22,2,144.3701302,170.3701302,225.1600354794885,0.3325430613937822,0.3246530849232485,0.06150097517841316
22,3,73.87409553,113.87409553,198.16625749844383,0.6584627472701615,0.743085770695132,0.03793260085561174
22,4,38.65143333,92.65143333,206.44585198739918,0.8213053674784029,0.9736463616990494,0.012148952455178314
22,5,29.1491215,97.1491215,240.4457968463545,0.8652367815108427,0.9981600558686571,0.0032101169887518537
22,6,23.3029393,105.30293929999999,278.10187133530985,0.8922650516131174,0.9788083938760745,0.010894328803229361
23,1,189.4802175,201.4802175,226.76786609053318,0,0,0.06824766789096634
23,2,126.0801274,152.08012739999998,206.87003267948847,0.3346000492109421,0.345326065485966,0.05522050075295237
23,3,75.2723028,115.2723028,199.56446476844383,0.6027432109106587,0.6770871532065217,0.038782024578349124
23,4,54.42903507,108.42903507,222.22345372739917,0.7127455531340627,0.7797459418610934,0.03202947167497808
23,5,47.27950658,115.27950658,258.5761819263545,0.7504778746625621,0.7287996198610064,0.035541271645613236
23,6,39.27009107,121.27009107,294.06902310530984,0.7927483323160107,0.6622496792467079,0.039663012849094605
24,1,165.5888132,177.5888132,202.87646179053314,0,0,0.061788100271504956
24,2,116.4647294,142.4647294,197.2546346794885,0.2966630586371037,0.3022320690028502,0.05161314764689361
24,3,71.18857502,111.18857502,195.48073698844382,0.5700882587157766,0.6558922645274202,0.03624533018857875
24,4,40.15971005,94.15971005,207.95412870739918,0.7574732901703048,0.939347273581155,0.01521703384420924
24,5,30.48763374,98.48763374,241.7843090863545,0.8158834938736066,0.9730730111264574,0.010139084397007793
24,6,24.85238583,106.85238583,279.65131786530986,0.8499150676321171,0.9319425992425592,0.016119164297275394
25,1,205.3700901,217.3700901,242.65773869053317,0,0,0.07222465559236042
25,2,143.6704966,169.6704966,224.4604018794885,0.3004312530123392,0.2802837414735788,0.06127257560313655
25,3,87.73276421,127.73276421,212.02492617844382,0.5728065164344007,0.6003445171507492,0.04565920729280416
25,4,55.13541077,109.13541077,222.92982942739917,0.7315314477237015,0.7957962167526738,0.032637536575215176
25,5,42.18912335,110.18912335,253.4857986963545,0.7945702642022651,0.825278468688458,0.030189692759133628
25,6,29.50113848,111.50113848000001,284.30007051530987,0.8563513388651914,0.8690115516752658,0.026139783023449645
26,1,146.5580566,158.5580566,183.84570519053312,0,0,0.0561131474925461
26,2,93.68109274,119.68109274,174.4709980194885,0.3607919283776856,0.4439758117350661,0.04184190722230524
26,3,50.7666017,90.7666017,175.05876366844382,0.6536075676920514,0.8850437011536865,0.019025278205421346
26,4,33.69986468,87.69986467999999,201.49428333739917,0.7700579179213817,1.040665028492069,NA
26,5,23.53235562,91.53235562,234.8290309663545,0.8394332173479434,1.1199975714817005,NA
26,6,18.18066609,100.18066609,272.97959812530985,0.875949050418836,1.1104930960352748,NA
27,1,155.1065424,167.1065424,192.39419099053316,0,0,0.05873017357055815
27,2,112.1829807,138.1829807,192.9728859794885,0.2767359844132532,0.277432510984099,0.04992297903442204
27,3,80.89744891,120.89744891,205.18961087844383,0.4784394799970733,0.48794288354943527,0.04202623527307719
27,4,50.73730239,104.73730239,218.53172104739917,0.6728874127104518,0.762155901669,0.028642272626820748
27,5,43.72451492,111.72451491999999,255.0211902663545,0.71810012496287845,0.7050014480358764,0.03189857089646306
27,6,36.50619036,118.50619036,291.30512239530987,0.7646379720988481,0.6169040355642803,0.036350892050781826
28,1,174.5183781,186.5183781,211.80602669053314,0,0,0.06427842012483961
28,2,102.2234416,128.2234416,183.0133468794885,0.4142540017107803,0.49340073964141945,0.04575067116254851
28,3,62.69082127,102.69082127,186.9829832384438,0.6407781120101986,0.7778918773671268,0.030293357805752038
28,4,29.96834974,83.96834974000001,197.76276839739919,0.8282796914212212,1.0812648461123262,NA
28,5,26.54062024,94.54062024,237.83729558635451,0.8479207718467788,1.041133594587784,NA
28,6,22.05738154,104.05738154,276.85631357530985,0.8736099786157708,0.9987349182652108,0.002286254043510193
29,1,188.3647665,200.3647665,225.65241509053317,0,0,0.06795974622410879
29,2,129.8153148,155.8153148,210.6052200794885,0.31083016631987803,0.30735263879146757,0.056559796792655236
29,3,76.75582639,116.75582639,201.04798835844383,0.5925149494982651,0.6593752142267972,0.03966339378264169
29,4,46.47113597,100.47113597,214.26555462739918,0.7532917815073447,0.8737918921420482,0.024143230257063827
29,5,36.13593825,104.13593825000001,247.4326135963545,0.8081597799766869,0.8932300491411211,0.022206303434796838
29,6,27.91964075,109.91964075,282.71857278530985,0.8517788582823953,0.8832468443196227,0.023221275036473518
30,1,196.0824246,208.0824246,233.37007319053316,0,0,0.06992756826381705
30,2,114.4812325,140.4812325,195.2711377794885,0.41615760446895245,0.47147452123149136,0.050837172780088244
30,3,61.71831052,101.71831052,186.01047248844384,0.6852430265185531,0.8215975580736719,0.029535805754993073
30,4,35.8080883,89.80808830000001,203.60250695739919,0.8173824687600277,1.0021847490259144,NA
30,5,25.94125542,93.94125542,237.2379307663545,0.8677022916616872,1.043226275543125,NA
30,6,20.12003216,102.12003216,274.91896419530985,0.8973899256853641,1.0350211450604287,NA
31,1,165.5711455,177.5711455,202.85879409053314,0,0,0.061783073519695204
31,2,106.4404267,132.4404267,187.23033197948848,0.35713178538104634,0.40737397453359275,0.047561973788956685
31,3,61.04859743,101.04859743,185.34075939844382,0.6312848036072807,0.7796386428901697,0.029002619740475133
31,4,34.72879457,88.72879456999999,202.52321322739917,0.7902485093938062,1.0185384608549914,NA
31,5,25.20575685,93.20575685,236.5024321963545,0.8477647975806267,1.0686890637007265,NA
31,6,14.77578151,96.77578151,269.57471354530986,0.9107587166509034,1.1723965725355137,NA
32,1,208.8065906,220.8065906,246.09423919053313,0,0,0.07305628981518025
32,2,139.2213185,165.2213185,220.0112237794885,0.3332522785801379,0.32998756715375444,0.05979970526264321
32,3,79.60915051,119.60915051,203.90131247844383,0.6187421561683216,0.6803273914276196,0.04130573221162779
32,4,48.13670083,102.13670083,215.93111948739917,0.7694675216348272,0.873414962388113,0.025992544738562915
32,5,35.186802,103.186802,246.4834773463545,0.8314861523341208,0.9198963236580322,0.020676824275605007
32,6,26.40237556,108.40237556,281.20130759530986,0.8735558322937341,0.9248639020551193,0.02002543372793668
33,1,228.8707782,240.8707782,266.15842679053316,0,0,0.0777344125780232
33,2,142.25631,168.25631,223.0462152794885,0.37844266918300706,0.38807402572172667,0.0608082864039991
33,3,81.59803591,121.59803591,205.89019787844381,0.6434755168320566,0.7023063557682645,0.042412913064009135
33,4,48.29172011,102.29172011,216.08613876739918,0.7890000615639974,0.8867644030125961,0.026158016421178147
33,5,35.05859108,103.05859108,246.3552664263545,0.8468192778662033,0.9307138458851354,0.020461456693163838
33,6,24.24593465,106.24593465,279.04486668530984,0.8940627770802065,0.9661430956255906,0.014303322948443208
34,1,197.6701531,209.6701531,234.95780169053313,0,0,0.07032557300193248
34,2,123.3343069,149.3343069,204.1242121794885,0.3760600426225905,0.4056940436641922,0.05421485753513616
34,3,78.57057309,118.57057309,202.86273505844383,0.6025167590665462,0.6648067207513405,0.040715608574146675
34,4,44.77576438,98.77576438,212.57018303739918,0.7734824217121528,0.901223109791772,0.02210247733998804
34,5,27.56518509,95.56518509,238.8618604363545,0.8605495839523383,1.0200479873067907,NA
34,6,23.77211363,105.77211363,278.57104566530984,0.879738477169217,0.9673606290111381,0.012705277929484265
35,1,205.5493284,217.5493284,242.83697699053317,0,0,0.07226826787689018
35,2,135.5548815,161.5548815,216.3447867794885,0.34052384138074376,0.3434331480289615,0.058558119562819526
35,3,83.03111257,123.03111257,207.32327453844383,0.5960526204764773,0.6427819726318804,0.04319309550793106
35,4,46.96292167,100.96292167,214.75734032739916,0.7715248109270885,0.8831502000191249,0.024703678822872843
35,5,31.64010756,99.64010756,242.9367829063545,0.846070489228609,0.9650676513709783,0.01350708206757612
35,6,24.54356334,106.54356333999999,279.34249537530985,0.8805952637692978,0.9556366800719303,0.015221577571217905
36,1,196.9480226,208.9480226,234.23567119053314,0,0,0.07014483251380756
36,2,130.119236,156.119236,210.9091412794885,0.3393219475766394,0.3473582024016394,0.05666737883162847
36,3,83.9715649,123.9715649,208.26372686844383,0.5736359076295696,0.6119191742708664,0.04369751855255227
36,4,46.273412,100.27341200000001,214.06783065739918,0.765047592815994,0.8837694497966657,0.02391419847891392
36,5,34.44557639,102.44557639,245.7422517363545,0.8251032128412952,0.9235189316366011,0.019398701287381772
36,6,26.44140266,108.44140266,281.24033469530985,0.865744259267318,0.917774682954457,0.020114000701756944
37,1,193.3523385,205.3523385,230.63998709053317,0,0,0.06923785337246254
37,2,89.86879113,115.86879113,170.6586964094885,0.5352071155322489,0.6666692893704936,0.039974336020508976
37,3,39.69345661,79.69345661,163.98561857844382,0.794709198151229,1.0321453408787533,NA
37,4,24.53518969,78.53518969,192.3296083473992,0.8731063204079117,1.133130216348777,NA
37,5,18.31692386,86.31692386,229.6135992063545,0.9052666029172437,1.1539964079467395,NA
37,6,13.90121146,95.90121146,268.7001434953099,0.9281042496416457,1.1538897321782007,NA
38,1,196.5289421,208.5289421,233.81659069053313,0,0,0.07003972787888786
38,2,131.7381593,157.7381593,212.5280645794885,0.3296755282335588,0.33217080127206083,0.057237038087746266
38,3,75.42098918,115.42098918,199.71315114844384,0.6162346961516565,0.691987487119248,0.03887126104188352
38,4,36.82511892,90.82511892,204.61953757739917,0.8126224131341315,0.9906367935545325,0.006777300613608231
38,5,22.30921914,90.30921914,233.60589448635452,0.8864837977469578,1.0942517368847786,NA
38,6,14.98779657,96.98779657,269.78672860530986,0.923737458667163,1.130209412761619,NA
39,1,195.4047789,207.4047789,232.69242749053313,0,0,0.06975700761789136
